,Song,Movie,Singers,Musicians,Lyricists,Lyrics
75,Paisa Yeh Paisa,Total Dhamaal,"Dev Negi, Subhro Ganguly, Arpita Chakraborty",Gourov-Roshin,Kunwar Juneja,"Gulaabi note jaise hoth Kudiyan de bang bang lagde Day ho ya night paise wale De mobile bang bang bajjde Money da swag super Koyi na isse upar Machata hai yeh total dhamaal La la la la la.. Ek do teen char Paanch chheh saat aath La la la la la.. Ek, paisa yeh paisa Do, jaisa hai kaisa Teen, nahi koyi aisa Chaar, jaisa yeh paisa Paanch, yeh ho museebat Chheh, na ho museebat Ho museebat, na ho museebat Saat aath nau dus x (2) La la la la la.. Ek do teen char Paanch chheh saat aath"
76,Poster Lagwa Do,Luka Chuppi,"Mika Singh, Sunanda Sharma",White Noise Studios,White Noise Studios,"Ho yeh khabar chhapwa do akhbaar mein Poster lagwa do bazar mein x (2) Ho ek ladka, ek ladki Ek ladka, ek ladki Ek ladka ladki ladka ladki Ladka ladki, ladka ladki Ho dono pagal ho gaye pyar mein Ho dhoondne ko pyaar mein Ghooma hoon gulli gulli Tu jo mil gayi To dil ko mil gayi tasalli Dhoondne ko pyaar mein Ghoomi hoon gulli gulli Tu jo mil gaya To dil ko mil gayi tasalli Ab jo mile hain hum tum Aa ho jayein khalli balli Yeh na ho fass jaye Yeh na ho fass jaye Yeh na ho, na ho, na ho Na ho jaye jaye jaye jaye Dono is sansar mein Ho yeh khabar chhapwa do akhbaar mein Poster lagwa do bazar mein x (2) Ho ek ladka, ek ladki Ek ladka, ek ladki Ek ladka ladki ladka ladki Ladka ladki, ladka ladki Ho dono pagal ho gaye pyar mein"
77,Ishq Ki Gali,SP Chauhan,"Sonu Nigam, Miss Pooja",Vibhas,Abhendra Kumar Upadhyay,Nariyal sa gol gol dil hai mera ghoomta Raatein kanoon ke hath se thi lambi Jab se tera sticker aake mujhpe chipka Mehanga hua main pehle tha raddi Kyun ki aaj hi Kyun ki aaj hi Kyun ki aaj hi Salim mila Anarkali se Chalo niklo niklo ishq ki patli gali se Chalo niklein niklein Ishq ki patli gali se x (3) Cycle ki tarah chalti thi dhadkan Raftaar rocket ki aayi kahan se Tere bhi armaan lazy the lazy Toone yeh furti laayi kahan se Aag lagi kahin nikla dhuan kahin se Chalo niklein niklein Ishq ki patli gali se x (4) Hothon ke brij pe Rakh loon main lease pe Aaja tujhe love you bana ke Dil mein tere baad aaye na koyi Koshish main kar doon curfew laga ke Humein search na koyi kar paaye Chalo wahin pe Chalo niklein niklein Ishq ki patli gali se x (4)
78,Har Gham Mein Khushi Hai,-,Ace,"Ace, IshQ Bector",Ace,"Ace! Sab hai dekha, sab hai jaana Yeh pehchana aur yeh maana Zindagi to hai mukaabla Jise jeet ke dikhana Main sayana hoon beghana Leke aaya tha tarana Aur yeh gaana jaise karma Sunke laga tujhko laama Roz ka drama aur hungama Mere pichhe rahte mama Jaise mere jeb mein ganja Kuchh badhta hai yeh maajra Woh kehte chhote jaana Phat phat se tu samaan la Chalata dhoop zhala Phir aaya yeh ujala Main nirala tha anjana Apne aap ko sambhala Apne aap ko sambhala Maine badli meri dhara Apne aap se judaa tha Main tha jeet ke bhi hara Maa baap mein khuda hai Yeh pahchana aur yeh mana Nibhata hoon main vaada Jo kamaya seedha sadha Parivar pehle aata Mere pyar meri mata Thoda dumm na chillam Poori kare meri aasha Mere gham aur sitam Main ho dhuyein mein udata Jo bhi galat woh sahi hai Yeh alag zindagi hai Talab si lagi hai Har gham mein khushi hai x (4) Jispe rakhte hum bharosa Wohi deta humein dhoka Yeh jo mauka toone chhoda Usne pakda maara chauka Jo na hona woh hai hota Jo na hota woh hai hona Agar sath hai sapnon ka Sar pe hath hai apnon ka Kal kya hoga yeh na socha Maa kasam main tha tangg Mere yaar mere sang Apne aap mein magan Woh to khud ki bhi na sunein Apna style hai dabang Mere shehar mein hai dum Main hoon haaji malang Alag mera dhang Dimaag rehta bhang Nakli rapperon ko dung When I am living at umang Main hoon sahi ya galat Aake leelo mera Ja tu mar, bolti band Ab na bach ,chalta ban Haqikaat se lad Tu to kabhi na palat Tu parakh, tu samajh Tu to kabhi na bhatak Jeeti haar se seekha Main hoon sabse sarash Tu bhi maar ke dikha Ab to jaan apna sach Jo bhi galat woh sahi hai Yeh alag zindagi hai Talab si lagi hai Har gham mein khushi hai x (4)"
79,Jeene Mein Aaye Maza,Gully Boy,Ankur Tewari,"Ankur Tewari, Mikey McCleary",Ankur Tewari,Tarazu ke bas do thaal hain Ek ore hum dooje mein khwaab hain Zindagi yeh pareshaan hai Zindagi yeh pareshaan hai Ganimat hai tu yahan Jeene mein aaye maza Khareeda nahi jaata khwaab hai Kiraya bhi aisa lajawab hai Zindagi yeh pareshaan hai Ganimat hai tu yahan Jeene mein aaye maza Tu jo mila jaaga khwaab hai Khoyi huyi meri kitaab hai Muskaya sa aadaab hai Jeene mein aaye maza Sustaye mausam aabaad hain Hawaon ke rukh humse naaraz hain Zindagi yeh pareshaan hai Ganimat hai tu yahan Jeene mein aaye maza Tu jo mila chhida saaz hai Khamoshi ko mili aawaaz hai Behti hawa sa ehsaas hai Jeene mein aaye maza Bigda hua hisaab hai Thoda nafa thoda nuksan hai Zindagi yeh pareshaan hai Ganimat hai tu yahan Jeene mein aaye maza
80,Kab Se Kab Tak,Gully Boy,"Ranveer Singh, Vibha Saraf","Ankur Tewari, Karsh Kale","Kaam Bhaari, Ankur Tewari",Koyi to ho jo humko humse mila de Koyi dikha de woh raasta Koyi to ho jo humko yeh bata de Khud se hote hain khud kaise juda Maine sabse poochh ke yeh Kab se kab tak humse ragbat x (3) Aa kab se kab tak Aa kab se kab tak humse ragbat Main sochun har ghadi Yeh sar chadhi talab hai ya Ya inki bad-badi pe dil mera dhadak gaya Yeh besabar hain aaj Kehna chaahein tujhko kuchh Tu mujhse khush to baant le na mera Humko humse mila de Humko humse mila de Hai dosti jo tumse kar li Kab se humne jaise Yeh roshni hai tab se Toote taare roothe rab se Kya jaadugari kari toone hai chhori re Chori kiya dil chori chori chori re Kya sapne humne bhi Saja rakhe hain khubsoorat Aashiqui hai hadh se zayda Ishq mein hoon tere moorat Mila de humko humse Ghum ko dhang se mehsoos karun Tere sang main tere sapne Apne mehfooz rakhun Mujhko chahiye tera ishq ka nasha Aur tujhko chahiye Mere dil ke tukdon ka maza Dekho mujhko na bata de mujhko Haal-e-dil tumahara bhi Thukrao na yoon rishte ko To jaano dil humara bhi Maine sabse poochh ke yeh Kab se kab tak humse ragbat x (3) Aa kab se kab tak Aa kab se kab tak humse ragbat Zindagi zehar ka pyala Pee liya piya ke naam Jee gaye to duniya haare Gir gaye gira ke jaam Mushkilon se mushkilon ki Mushkilein sambhaali hai Mushkilon ki kajri gaa ke Kashtiyan sanwari hain Humne bhi wafa ki humne Humne bhi daga ki hai Humne hi judayi jeeti Humne hi sadaa ki hai Humne tujhko paake khoya Humne tujhko kho ke paya Humne tere vaaste Yeh likh di hai kawwali ke Nazron ke yeh kaale ghere Inmein hi sama lo na Apne main bana loon inko De do mujhko taalo na Main chhod jaata duniya Laapta sa ho jo jaata To kya tu khojta Main sapne odh so jo jaata Main rok paata khud ko Iss jhamele se to Kehta na yoon tujhko Ke tu mujhko ab akele chhod Maine sabse poochh ke yeh Kab se kab tak humse ragbat x (3) Aa kab se kab tak Aa kab se kab tak humse ragbat
81,Azadi,Gully Boy,"Divine, Dub Sharma","Divine, Dub Sharma","Divine, Dub Sharma","Azadi Bhukhmari se, azadi Haan bhed bhaav se, azadi Haan pachhwaad se, azadi Hum leke rahenge, azadi Tum kuchh bhi kar lo, azadi Azadi.. Ho tera pinjra mein jaal ni khana Parindeya ne udd jaana tera pinjra Tera mukk jaana sara lana baana Parindeya ne udd jaana tera pinjra x (2) Freedom, freedom Haan bahut baithe chup chaap Kya ghante ka insaaf Desh kaise hoga saaf Inki neeyat mein hai daag Sirf karte rahenge baat Alag shakal wohi jaat Vote milne par yeh khaas Phir gayab poore saal Haan mera bhai hai to Noton ki sarkaar hai na Note se banate apne beton ko Yeh star hain na Kitne bekaar kyun yeh Aapas mein jhankar hai na Baaki poora desh doobe Inki naiya paar hai na Achchi vidya chahiye Achcha khaasa maal dena Nal mein paani chahiye Khade reh le line mein na Zameen apni par note dikha kar sign lena Drugs laaye yeh phir Dhakel denge crime mein na Akela insaan phir gaadi teri chaar kyun? Ghar mein hai chaar phir rooms tere 8 kyun? Paison se nai bante kudrat se hum khaas kyun? Teri peedhi ka soch woh kaise lenge saans kyun? Kya shu Ek tarfa tarazo Kya shu Aa teri hansi mere aansu Kya shu Aa ghut ghut ke kyun saans loon Kya shu Usse dega kya hisaab tu? Ho tera pinjra mein jaal ni khana Parindeya ne udd jaana tera pinjra Tera mukk jaana sara lana baana Parindeya ne udd jaana tera.. Aa nahi ban’na mujhe Slumdog Millionaire Yeh slumdog hai mission pe Sidham ke keede chhode inke apne kafan pe Bachpan se chhura rakha hai Inhone apne gardan pe Mastak mein yeh likhte galat Seekhte galat, chheenkte halak Par kisi ko parwah nahi Yeh saitaan hain insaan nahi Dharam ke naam pe kaam nahi Dharam banaya insaan hi Paison ke liye yeh tha sabhi Dimaag lada kar jaan ke bhi Dhasne laga tu kaan ka bhi Istemaal kar tu zabaan ka bhi An-dekha ka kyun hai jaan ke bhi An-dekha ka kyun hai jaan ke bhi Sachai mein tu sama kabhi Achai se tu kama kabhi Iss gandh ko karna saaf abhi Iss gandh ko karna saaf abhi Iss gandh ko karna saaf abhi Kya shu Ek tarfa tarazo Kya shu Aa teri hansi mere aansu Kya shu Aa ghut ghut ke kyun saans loon Kya shu Usse dega kya hisaab tu haan? Haan, ho bolo azadi Bolo azadi Ho bolo azadi Ho bolo azadi Ho bolo azadi Give me freedom"
82,Doori,Gully Boy,Ranveer Singh,Rishi Rich,"Javed Akhtar, Divine","Koi mujhko yeh bataaye Kyun yeh doori aur mazboori Is duniya ki kya story Kiske hath mein iski dori Right mein building asmaano ko chu rahi Left mein bachchi bhookhi sadkon pe so rahi Kaisi yeh mazboori Paisa rehna hai zaroori Nahi to kaise hogi poori teri seenazori Lambi gaadi jitni kiski khuli Aaye chawal ki khaali bori ae Paison se bhari poori Kaisi yeh mazboori Haan, bol na Ab dekho to hum paas hain lekin Socho kitni doori hai Ab kaisi yeh mazboori hai Ab socho kitni doori hai x (2) Yeh to saara 200 taka done hai Jitna kala tera man, utna kala tera dhan Do tafra shoot karte bole gun Yeh tarfa karte hain chilam Wahan pe peti peti dhan Yahan pe kheti kheti gandh Ek duniya mein do duniya ujala ek andhera Ek seth ji aur ek chela Kahin to moti mail mein koi jee raha hai akela Kahin to local dibbe mein hai rele pe hai rela Unki sewa inki mewa Ab dekho to hum paas hain lekin Socho kitni doori hai Ab kaisi yeh mazboori hai Ab socho kitni doori hai x (2) Ghar pe sabke apne apne gham hain Deewarein zyada aur bole Kamre yahan kam hain Soch mein yeh wajan hai Kyunki khaali yeh bartan hai Mera karma ya karam hai Ab to todna bharam hai Mujhko seene se laga ke kuchh nahi kehti Meri maa bas roti, meri maa meri fauji Meri maa meri boli Meri lori matt rona matt rona Ab to honi hai an-honi Ab honi hai an-honi maa Ab dekho to hum paas hain lekin Socho kitni doori hai Ab kaisi yeh mazboori hai Ab socho kitni doori hai x (2)"
83,Sadke Jawaan,SP Chauhan,"Palak Muchhal, Kamal Khan",Vibhas,Dr Devendra Kafir,Sadke sadke tere sadke sadke Tere sadke sadke jawaan Sajde sajde tainu sajde sajde Tainu sajde sajde pawaan x (2) Maangu main mohabbton ki Khuda usse maangu Teri hi dua main saari Dua usse maangu Aasmaan ki chhat pe tera Naam likh doon taaron se Aankhon ko bhar loon apni Pyar ke dedaron se Kurbaan main tere dholna Sadke sadke tere sadke sadke Tere sadke sadke jawaan Sajde sajde tainu sajde sajde Tainu sajde sajde pawaan x (2) Dholna dholna Sath mein rahe tu jab tak Utni ho zindagi Ik pal ke vaaste bhi Rahoon na juda kabhi x (2) Bas tujhi se jaake judte Raaste sabhi mere Bas tere hi vaaste hi hain Vaaste sabhi mere Kurbaan main tere dholna Sadke sadke tere sadke sadke Tere sadke sadke jawaan Sajde sajde tainu sajde sajde Tainu sajde sajde pawaan x (2)
84,Mere Gully Mein,Gully Boy,"Ranveer Singh, DIVINE, Naezy","DIVINE, Naezy, Sez","DIVINE, Naezy","Mic check bole Kya bol rele gully boy Kya bol rele MC sher Arre apun kuchh karte hain na Yaar apne pubic ke liye Karte hain na Aiba Patel Log ke liye bhai Haan apne Pasha log ke liye Oho ek number! Tum kidhar ho, kidhar ho tum abhi? Bombay Satara mein bhai Tum kidhar ho? 59 Tere shooteron ka khaas Mere gully mein Ho poore shehar ki awaaz Mere gully mein Prayer, aarti ya namaaz Mere gully mein Maa pe gaali to chamaat Mere gully mein Ho police aayi lagi waat Mere gully mein Ek number saari baat Mere gully mein Achcha woh nikli tere gully se Par ab woh mere gully mein Ho mere gully mein Gully gully gully mein x (2) Ho tere shooteron ka khaas Mere gully mein Ho poore shehar ki awaaz Mere gully mein Ho mere gully mein Gully gully gully mein x (2) Ho police aayi lagi waat Mere gully mein Ek number saari baat Mere gully mein Dekho to idhar Mere gully mein hai ghar Chhote chhote lekin zara dekho Dil mein hai jagah beshumar De pukar kabhi bhi gully se Madad dene ko taiyar Gareebi chalenge lekin Farebi karenge nai Jalebi talenge lekin Pateli rukhegi nahi Jahaan bhi chalenge bole Hatela jhukega nai Kyon? Kyunki hatela hai Meri gully ka tareeka Saleeka sikhela hai Roshan chaukat yeh avli bawaali ae Raunak Bombay ki chawli kamaali ae Sohbat bahut’ch maohabbat wali ae Daulat shohrat jaake kama le woh Banta bachchi bommai Girgit pakde patri par Machhi wachhi phansaye Khitpit kare marzi par Chhapre chadve chhapri deve Iski topi uske sar Aadi karve jo bhi chepan chappi Uske pasli par Ho mere gully mein Gully gully gully mein x (2) Woh tere shooteron ka khaas Mere gully mein Ho poore shehar ki awaaz Mere gully mein Ho mere gully mein Gully gully gully mein x (2) Ho police aayi lagi waat Mere gully mein Ek number saari baat Mere gully mein Masti hai khali bali Chalta main jabhi jabhi Phere money money Sab kuchh navi navi Chhokri sath tere Chhatti mujhe ghadi ghadi Karte kuchh nahi Baatein sirf badi badi Bichha doon patte tere Khelta nahi rummy wummy Main aur aafat sath Gaane mein koyi kami nahi Ghar se kali joint jali dum legi legi Hath ghoomi saath lage Bhaage mummy mummy Mushkil naam ki ladki hai Jispe mausi bhadki hai Doosri ladki kadki hai Jispe sabki hat’ti hai Teesri hum pe marti hai Khushi sab samajthi hai Chor mere gully mein? Woh to saala mantri hai Role mere galli mein Ek se ek khatri hai Jhol mere gully mein Poora karke vatt liye Police aayi gully mein Re chal chal chal Mere shooter saare vatt liye Ho mere gully mein Gully gully gully mein x (2) Woh tere shooteron ka khaas Mere gully mein Ho poore shehar ki awaaz Mere gully mein Ho mere gully mein Gully gully gully mein x (2) Ho police aayi lagi waat Mere gully mein Ek number saari baat Mere gully mein Mere gully mein"
85,Apna Time Aayega,Gully Boy,Ranveer Singh,"DIVINE, Ankur Tewari",-,"Apna time aayega Uth ja apni raakh se Tu udd ja ab talaash mein Parwaaz dekh parwane ki Aasman bhi sar uthayega Aayega apna time aayega Mere jaisa shaana lala Tujhe na mil payega Yeh shabdon ka jwala Meri bediyan pighlayega Jitna toone boya hai tu Utna hi to khaayega Aisa mera khwaab hai Jo darr ko bhi satayega Zinda mera khwaab Ab kaise tu dafnayega Ab hausle se jeene de Ab khauf nahi hai seene mein Har raaste ko cheerenge Hum kaamyabi chheenenge Sab kuchh mila paseene se Matlab bana ab jeene mein Kyon Kyon ki apna time aayega Tu nanga hi to aaya hai Kya ghanta lekar jaayega Apna time aayega Apna time aayega Apna time aayega x (2) Tu nanga hi to aaya hai Kya ghanta lekar.. Kissi ka hath nahi tha sar par Yahaan par aaya khud ki mehnat se main Jitni taakat kismat mein nahi Utni rehmat mein hai Phir bhi ladka sehmat nahin hai Kyon ki hairat nahi hai Zaroorat yahaan marzi ki Aur jurrat ki hai Taakat ki hai, aafat ki Himaakat ki, ibaadat ki Adalat yeh hai chahat ki Mohobbat ki, amaanat ki Jeetne ki ab aadat ki hai Shohrat ki ab laalach nai hai Tere bhai jaisa koyi hard’ch nai hai Iss harkat ne hi barkat di hai Kyon? Kyon ki apna time aayega Tu nanga hi to aaya hai Kya ghanta lekar jaayega Apna time aayega Apna time aayega Apna time aayega Tu nanga hi to aaya hai Kya ghanta lekar jaayega Tu nanga hi to aaya tha Kya tu ghanta lekar jaayega Apna time aayega Apna time aayega"
86,Bheege Bheege,Amavas,"Ankit Tiwari, Sunidhi Chauhan",Ankit Tiwari,Anurag Bhomia,Pyase pyase labon pe Barsa de baarishein Barsa de baarishein Sulga sulga badan hai Bhadki hain aatishein Bhadki hain aatishein Teri talab lagi hai har su Mera bikhra wahin hai woh sukun Oh bheege bheege se lamhe Bheege bheege se hum hain Bheege bheege par khaule khaule se Bheege bheege se hum hain Bheege bheege se lamhe Bheege bheege dil shone shone se Na ho ab bas mera Baahon mein kas le aa Hai tann badan toh tarr batar hua Dheere dheere Kuchh soch hai mehki Kuchh saansein behki behki Hai yeh asar jo iss kadar chhua Dheere dheere Geeli geeli hain yeh saasein Bheega bheega hai yeh mann Teri talab lagi hai har su Mera matlab yeh hai bas tu Oh bheege bheege se lamhe Bheege bheege se hum hain Bheege bheege par khaule khaule se Bheege bheege se hum hain Bheege bheege se lamhe Bheege bheege dil shone shone se
87,Beh Chala,URI ,"Yasser Desai, Shashwat Sachdev",Shashwat Sachdev,Raj Shekhar,"Zindagi haan thode thode faasle the Kuchh tere, kuchh mere kyun darmiyan Zindagi haan thi jo shikayaton ko Kuchh toone, kuchh maine suljha liya x (2) Tere ishaaron pe main chalta raha Mere ishaaron pe tu bhi chal kabhi x (2) Beh chala, beh chala Musafir kahan beh chala Beh chala, beh chala x (2) Aadhe aadhe yahin Aadhe aur kahin Zindagi haan toote toote tinkon ko Chun lein hum, bun lein hum ik ashiyaan Zindagi haan chhote chhote par leke Chal dekhein jayein kahan aasman Katra katra main tujhe chunta raha Katra katra phir tu bhi bikhar gayi Katra katra main tujhe chunta raha Katra katra tu bhi bikhar gayi Beh chala, beh chala Musafir kahan beh chala Beh chala, beh chala x (2) Hain hum mile sau sau dafa Phir bhi kyun tu mile ajnabi ki tarah Hai manzilein sab kahin yahan Phir bhi raaston mein Raaste ulajh rahe yahan Kitna bhi main chaloon teri ore Hoti kam hi nahi kyun kabhi dooriyan Tere ishaaron pe main chalta raha Mere ishaaron pe tu bhi chal kabhi x (2) Beh chala, beh chala Musafir kahan beh chala Beh chala, beh chala x (2) Aadhe aadhe yahin Aadhe aur kahin x (2) Zindagi haan"
88,Asli Hip Hop,Gully Boy,Ranveer Singh,Spitfire,Spitfire,"Thanda kuchh nahi Sab garam hi garam hai Angar hai, angar hai 2 by 4, 2 se 4 hai Oho Khada hoon kaise main yahan pe ab na puchhna Dard shayari mein tujhko chahiye saboot kya Sikhar yeh soch par juda hoon main zameen se Yakeen tumko na par aage aaya main yakeen se Lakh nafratein hon sath maa ka pyar hai Hansi hai uski jeet meri Kaise jaaun haar main Kaat lo zuban, aasuon se gaaunga Gaad do beej hoon main, ped ban hi jaunga Dil tha tuta tab hip hop mere sath tha Ujaale milne mein mujhe Haan raat ka hi hath tha Kalakaar main, kal ko aakar doon Yehi hai mera dharm Meri doosri koyi jaat na Maa hai rab meri Gully yeh meri mashooka Ladka aida main jhukane pe bhi na jhuka Sunn rahe jo mujhe beshumar pyar unse Banata geet main Par main khud bana hoon tumse Gaur kar lo meri baaton pe tum dhyan do Nainon ko main namm karoon Sukoon main deta kaan ko Chilao zor se uthao apne hath tum Asli hip hop se milayein Hindustan ko Hindustan ko, haan ji Hindustan ko Asli hip hop se milayein hindustan ko x (2) Kya! Apna time aayega!"
89,Phir Mulaaqat,Cheat India,Jubin Nautiyal,Kunaal-Rangon,Kunaal Vermaa,"Toh kya hua juda huye Magar hai khushi mile toh the Toh kya hua mude raaste Kuchh door sang chale toh the Dobara milenge kisi mod pe Jo baaki hai woh baat hogi kabhi Chalo aaj chalte hain hum Phir mulaaqat hogi kabhi Phir mulaaqat hogi kabhi Juda ho rahe hain kadam Phir mulaaqat hogi kabhi Dukhaun main dil jaate jaate tera Mera aisa koyi irada nahi Chhupa loonga main hans ke aansu mere Yeh teri khushi to zyada nahi Jo bichhde nahi to phir kya maza Zaroori hai rehni bhi thodi kami Nahi hoga kuchh bhi khatam Phir mulaaqat hogi kabhi Phir mulaaqat hogi kabhi Juda ho rahe hain kadam Phir mulaaqat hogi kabhi Sitaron ki iss bheed ko gaur se Ek aakhri baar phir dekh lo Yeh jo do alag se hain baithe huye Yeh tum ho, yeh main hoon yehi maan lo Yeh din mein nahi nazar aayenge Magal kal ko jab raat hogi kabhi Jo yeh roshni hogi kam Phir mulaaqat hogi kabhi Phir mulaaqat hogi kabhi Juda ho rahe hain kadam Phir mulaaqat hogi kabhi"
